NAME,PATH,DESCRIPTION
captoinfo,/usr/bin/captoinfo,captoinfo(1m) - convert a termcap description into a terminfo description
cat,/bin/cat,cat(1) - concatenate and print files
cd,/usr/bin/cd,cd(ntcl) - Change working directory
certtool,/usr/bin/certtool,"certtool(1) - create key pairs, certificates and certificate signing requests for use with Keychains"
cfprefsd,/usr/sbin/cfprefsd,cfprefsd(8) - defaults server
chat,/usr/sbin/chat,chat(8) - Automated conversational script with a modem
checkgid,/usr/sbin/checkgid,checkgid(8) - validate group identifiers
checknr,/usr/bin/checknr,checknr(1) - check nroff/troff files
chflags,/usr/bin/chflags,chflags(1) - change file flags
chgrp,/usr/bin/chgrp,chgrp(1) - change group
chmod,/bin/chmod,chmod(1) - change file modes or Access Control Lists
chown,/usr/sbin/chown,chown(8) - change file owner and group
chpass,/usr/bin/chpass,"chpass(1), chfn(1), chsh(1) - add or change user database information"
chroot,/usr/sbin/chroot,chroot(8) - change root directory
cksum,/usr/bin/cksum,"cksum(1), sum(1) - display file checksums and block counts"
